,postal_code,ctr,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Estimate!!RACE!!Total population,Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!Median age (years)
1,48001.0,0.002424523543628256,87.0,11885.0,44.0,7.0,56.0,0.0,0.0,0.0,79.0,0.0,39.0,0.0,40.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,73.0,0.0,28.0,0.0,56.0,12.0,1.0,0.0,37.0,0.0,0.0,103.8,507.0,547.0,48.3
2,48002.0,0.001797193932903365,89.1,3234.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,0.0,41.0,0.0,0.0,0.0,4.0,0.0,0.0,103.4,277.0,231.0,44.0
3,48003.0,0.00040237680617072433,108.5,6240.0,31.0,2.0,8.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,104.5,368.0,351.0,43.2
4,48005.0,0.0013281162160248185,75.0,5500.0,62.0,35.0,16.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,8.0,0.0,43.0,0.0,0.0,62.0,29.0,0.0,0.0,102.9,456.0,340.0,46.3
5,48006.0,0.001391740348415623,95.9,4160.0,109.0,17.0,19.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,17.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,113.9,354.0,207.0,41.0
6,48009.0,0.0010281464994491818,84.7,21066.0,561.0,586.0,13.0,0.0,0.0,0.0,587.0,147.0,25.0,62.0,142.0,19.0,55.0,0.0,0.0,0.0,0.0,0.0,42.0,101.0,224.0,0.0,127.0,0.0,63.0,55.0,224.0,14.0,0.0,90.8,1304.0,607.0,42.7
7,48014.0,0.0008089627632303641,59.1,4152.0,176.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,126.0,28.0,0.0,131.0,0.0,31.0,0.0,32.0,0.0,0.0,93.4,369.0,284.0,40.9
8,48015.0,0.000717840021363472,81.8,8303.0,174.0,1753.0,0.0,0.0,0.0,0.0,455.0,19.0,47.0,0.0,0.0,0.0,383.0,5.0,5.0,0.0,0.0,0.0,44.0,12.0,0.0,0.0,12.0,5.0,9.0,13.0,0.0,32.0,0.0,90.1,520.0,507.0,38.9
9,48017.0,0.0009415783043707385,69.2,11993.0,229.0,209.0,7.0,0.0,0.0,0.0,207.0,0.0,10.0,27.0,37.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,177.0,80.0,81.0,0.0,87.0,13.0,0.0,23.0,316.0,6.0,24.0,100.3,583.0,690.0,41.0
10,48021.0,0.0015152540474776199,64.8,32469.0,717.0,16007.0,394.0,152.0,0.0,6.0,224.0,21.0,27.0,8.0,0.0,5.0,163.0,0.0,0.0,0.0,0.0,0.0,533.0,86.0,69.0,21.0,531.0,6.0,38.0,62.0,91.0,446.0,9.0,87.5,2319.0,2374.0,36.6
