,time_of_day_weights
0,0.18609184950418367
1,0.41098748353578946
2,0.28331936430238774
3,0.14523648685546334
4,0.14871687086724705
5,0.1367004867618341
6,0.12639031557226763
7,0.2773684899110558
8,0.2883989933617367
9,0.4773173487616583
10,0.4736020291423845
11,0.48074310829191774
12,0.5258252053938365
13,0.3700383882553702
14,0.48765554940168226
15,0.4845314717724517
16,0.4160904850977183
17,0.39409540106442903
18,0.36180964214848366
19,0.42966942648725215
20,0.29479368700490244
21,0.24035696870026418
22,0.3216134605349746
23,0.22132126888358888
24,0.1926667560428727
25,0.34045947454466435
26,0.1887748242647467
27,0.13491595791249875
28,0.11390702840319025
29,0.12773970579607044
30,0.18343757789223325
31,0.29217254700070094
32,0.22386595710814006
33,0.5888465090400585
34,0.5261022719546727
35,0.4918478694076573
36,0.5128941053851761
37,0.48978888142544624
38,0.4127806413607086
39,0.47204574658693527
40,0.26082347493095015
41,0.36348456062894136
42,0.3868865735923345
43,0.27216051162570076
44,0.3227084471386093
45,0.22306934110182108
46,0.22079250587153323
47,0.2551293550761884
48,0.23307395521007335
49,0.26969858008458436
50,0.30167853567443526
51,0.16203274373698337
52,0.09496942509653336
53,0.1457628062835305
54,0.18048663310269003
55,0.3369933960336264
56,0.27226901731356756
57,0.5378724361695806
58,0.519508534480596
59,0.525813517276943
60,0.45204917014024143
61,0.45048058094989385
62,0.31901170330958445
63,0.341378940799504
64,0.3671342233228154
65,0.28734900652908246
66,0.32465694163990577
67,0.30944647858818464
68,0.4186956422664117
69,0.24739404323824582
70,0.20943898763920232
71,0.23516475192915348
72,0.23556257268231004
73,0.21039929218062509
74,0.29806577056861017
75,0.1010027359785057
76,0.14863969443134456
77,0.11026925825755626
78,0.09309480474796145
79,0.2330658943795053
80,0.3141084426250181
81,0.5565771768851828
82,0.5012765900915577
83,0.4488697351954472
84,0.4595064894236899
85,0.36326841920631736
86,0.3480067034919911
87,0.4210128687468348
88,0.36767576122567974
89,0.28855821266879506
90,0.321155503529279
91,0.32374377756475414
92,0.2174586060571252
93,0.29377225006483376
94,0.17863920355567983
95,0.2413964088784944
96,0.20983595691081697
97,0.2516775437823007
98,0.24320004712229326
99,0.17497234186242694
100,0.19537436365144623
101,0.16668569517548237
102,0.08488276100693423
103,0.22418636061609007
104,0.27273441660194175
105,0.583143011278584
106,0.4628967268857971
107,0.4457730903202826
108,0.4258691886007757
109,0.40725536770558074
110,0.3959177574346481
111,0.47501214912463596
112,0.3867142607097795
113,0.41017292973727376
114,0.3340384744913024
115,0.31271396624086734
116,0.26375908609212395
117,0.29773282873092244
118,0.2643495478213287
119,0.1849663974920457
120,0.3848348209474001
121,0.3805743615940436
122,0.26383580077964497
123,0.11975225428289435
124,0.11575067505560754
125,0.175096787062444
126,0.09162283605630744
127,0.24765115637577514
128,0.2878947471561044
129,0.5620056499196296
130,0.5167751740843697
131,0.4469353278950013
132,0.5118771517485272
133,0.4865739695477973
134,0.41112006465688944
135,0.3337658757251982
136,0.36548626618910096
137,0.27963747685779367
138,0.35206480036140625
139,0.30686413898183273
140,0.2596283111209217
141,0.33760674975665944
142,0.29767736594965916
143,0.20514926939754874
144,0.28654585163319163
145,0.34674606847329825
146,0.3021679695701062
147,0.18282884561920107
148,0.12225366694026582
149,0.10885182100675295
150,0.06344253873008954
151,0.19593181831564643
152,0.2996749682620535
153,0.5589328499659789
154,0.4425762129591235
155,0.5388329162719162
156,0.49930915387305685
157,0.2752581839872602
158,0.3775968937995908
159,0.36702451361515476
160,0.31346306236347915
161,0.27040405692294456
162,0.224369655433862
163,0.36158271197418757
164,0.23982395360061748
165,0.3049871220980731
166,0.21444319869010708
167,0.24304409511467578
168,0.5393803629159055
